,FB,MSFT,TSLA,AAPL
RMSE,2.9945644452127405,1.1357912020503889,7.400807428575576,10.220898563439768
MAPE,0.01571804927028276,0.019716485578343868,0.018897862227592915,0.07344705220023871
R2 score,0.9760361007357159,0.9945973927189466,0.9859379929153249,0.8930632453214908
