,FB,MSFT,TSLA,AAPL
RMSE,3.277579874726526,1.0719510448467053,6.78318496674761,5.087629862578959
MAPE,0.017267414536795304,0.0175732017682051,0.017855339247440496,0.04086635814722873
R2 score,0.9712924105897981,0.9951876600060366,0.9881871028117871,0.9735040278126222
